kernel,module,route,mode,device,pass,compare_status,exit_code,max_diff,n_over,n_total,threshold,timing_ms,rtol,atol,fatobj_bytes,has_kernel_sym,has_ctor,nested_elf_offsets,error
comb_sinkhorn,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,13472,True,True,"[0, 312]",NPU run failed (exit 1)
csa_cache_writeback,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,True,pass,0,0.0,,,0.005,6.355,0.005,0.005,5448,True,True,"[0, 288]",
csa_cmp_rope,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,5712,True,True,"[0, 280]",NPU run failed (exit 1)
csa_rope_step,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,7768,True,True,"[0, 280]",NPU run failed (exit 1)
csa_slots_build_valid_qk_plan,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,14120,True,True,"[0, 296]",NPU run failed (exit 1)
hc_post,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,True,pass,0,0.0,,,0.005,0.682,0.005,0.005,6968,True,True,"[0, 288]",
hc_pre_linear,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,5920,True,True,"[0, 296]",NPU run failed (exit 1)
hc_pre_rms,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,8920,True,True,"[0, 288]",NPU run failed (exit 1)
hc_pre_seed,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,True,pass,0,0.0,,,0.005,0.462,0.005,0.005,5104,True,True,"[0, 264]",
idx_qr_proj_dequant,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,6776,True,True,"[0, 304]",NPU run failed (exit 1)
idx_qr_proj_matmul,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
kv_and_cache_write,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
kv_hadamard,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,True,pass,0,0.0,,,0.005,0.767,0.005,0.005,4728,True,True,"[0, 264]",
kv_proj_matmul,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,6088,True,True,"[0, 296]",NPU run failed (exit 1)
kv_proj_seed,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,True,pass,0,0.0,,,0.005,2.53,0.005,0.005,4960,True,True,"[0, 248]",
kv_rms_norm_rope,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
kv_score_proj,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,6024,True,True,"[0, 296]",NPU run failed (exit 1)
kv_score_proj_0,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,5768,True,True,"[0, 296]",NPU run failed (exit 1)
kv_touch,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,harvest failed: no dump records for kernel kv_touch (fid 37)
merge_norm,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,True,pass,0,0.0,,,0.005,0.58,0.005,0.005,10056,True,True,"[0, 288]",
mix_x,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,8992,True,True,"[0, 288]",NPU run failed (exit 1)
proj_a_mm,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,True,pass,0,,,,,0.449,0.005,0.005,6008,True,True,"[0, 288]",
proj_b_act,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,8256,True,True,"[0, 288]",NPU run failed (exit 1)
proj_b_mm,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
q_rope_prepare,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
qk_pv_aic,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
qk_pv_aiv,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
qproj_dequant_rms_nope_rope,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
qproj_matmul,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
qr_hadamard_matmul,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,4960,True,True,"[0, 280]",NPU run failed (exit 1)
qr_hadamard_quant,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
qr_proj_matmul,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,False,fail,1,,,,,,0.005,0.005,6040,True,True,"[0, 296]",NPU run failed (exit 1)
qr_proj_seed,attention_csa,vpto(phase5)[vmi-membar-vfoff],decode,0,True,pass,0,0.0,,,0.005,0.592,0.005,0.005,4960,True,True,"[0, 248]",
qr_rms_norm_quant,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
qr_rope,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
quant,attention_csa,vpto(phase5),decode,0,False,crash,-1,,,,,,,,,,,,vpto_run exited 1 without result.json (likely ptoas/bisheng lowering failure)
